id,unit_measure,quantity_input,expiration_date,quantity_measure,days_to_sold,product_input_showcase_today
1836,L,76,222,15,11,True
1837,kg,41,-62,9,19,True
1838,UN,57,-91,14,15,True
1839,L,84,-66,16,8,True
1840,kg,90,347,18,16,True
1841,L,84,-223,14,4,False
1842,UN,95,317,9,4,False
1843,UN,3,-39,4,27,False
1844,kg,48,-164,17,5,True
1845,kg,16,156,18,2,True
1846,kg,58,331,5,11,True
1847,UN,84,414,16,2,True
1848,L,58,68,19,2,True
1849,kg,31,175,19,18,True
1850,UN,95,420,16,21,True
1851,UN,48,239,12,27,True
1852,UN,81,139,7,3,True
1853,UN,31,-287,10,20,True
1854,L,35,-28,14,8,False
1855,UN,52,94,18,4,False
1856,kg,5,-14,17,6,True
1857,L,6,220,15,6,True
1858,kg,92,103,6,12,True
1859,L,60,-71,2,25,True
1860,kg,65,167,13,17,True
1861,L,40,-15,1,23,False
1862,UN,65,410,7,18,False
1863,UN,43,-280,12,8,False
1864,UN,28,-286,7,18,False
